Designator,Mid X,Mid Y,Rotation,Layer
D1,62.9,-28.75,90.0,bottom
D10,117.08,-47.2275,90.0,bottom
D11,135.44,-46.81,90.0,bottom
D12,153.52,-47.2975,90.0,bottom
D13,62.96,-63.08,90.0,bottom
D14,80.98,-63.69,90.0,bottom
D15,99.13,-63.29,90.0,bottom
D16,117.22,-63.55,90.0,bottom
D17,135.37,-63.82,90.0,bottom
D18,153.39,-63.96,90.0,bottom
D19,62.87,-80.4675,90.0,bottom
D2,80.97,-29.1675,90.0,bottom
D20,81.1,-80.46,90.0,bottom
D21,99.23,-80.59,90.0,bottom
D22,117.48,-80.38,90.0,bottom
D23,135.59,-81.06,90.0,bottom
D24,153.5,-80.77,90.0,bottom
D25,63.07,-98.0,90.0,bottom
D26,81.37,-97.91,90.0,bottom
D27,99.18,-98.0775,90.0,bottom
D28,117.19,-98.1,90.0,bottom
D29,135.39,-98.0,90.0,bottom
D3,99.18,-28.8375,90.0,bottom
D30,153.44,-97.98,90.0,bottom
D31,222.35,-29.14,90.0,bottom
D32,240.26,-28.7575,90.0,bottom
D33,258.37,-28.7975,90.0,bottom
D34,276.41,-28.7975,90.0,bottom
D35,294.59,-29.69,90.0,bottom
D36,312.74,-29.12,90.0,bottom
D37,222.22,-46.9275,90.0,bottom
D38,240.21,-46.43,90.0,bottom
D39,258.36,-46.7675,90.0,bottom
D4,117.25,-29.31,90.0,bottom
D40,276.52,-46.84,90.0,bottom
D41,294.75,-46.6875,90.0,bottom
D42,312.74,-46.63,90.0,bottom
D43,222.3,-63.7975,90.0,bottom
D44,240.29,-63.3875,90.0,bottom
D45,258.42,-63.0375,90.0,bottom
D46,276.56,-63.1775,90.0,bottom
D47,294.49,-63.0,90.0,bottom
D48,312.7,-63.12,90.0,bottom
D49,222.44,-80.56,90.0,bottom
D5,135.39,-28.8675,90.0,bottom
D50,240.4,-80.7,90.0,bottom
D51,258.39,-80.57,90.0,bottom
D52,276.54,-80.78,90.0,bottom
D53,294.69,-80.54,90.0,bottom
D54,312.98,-80.4475,90.0,bottom
D55,222.41,-97.82,90.0,bottom
D56,240.43,-97.96,90.0,bottom
D57,258.58,-97.5975,90.0,bottom
D58,276.67,-97.48,90.0,bottom
D59,294.62,-97.9375,90.0,bottom
D6,153.44,-29.47,90.0,bottom
D60,312.84,-97.86,90.0,bottom
D7,63.03,-46.2175,90.0,bottom
D8,81.05,-46.61,90.0,bottom
D9,99.07,-46.9575,90.0,bottom
SW1,53.94,-28.56,0.0,top
SW10,108.24,-45.66,0.0,top
SW11,126.34,-45.66,0.0,top
SW12,144.44,-45.66,0.0,top
SW13,53.94,-62.76,0.0,top
SW14,72.04,-62.76,0.0,top
SW15,90.14,-62.76,0.0,top
SW16,108.24,-62.76,0.0,top
SW17,126.34,-62.76,0.0,top
SW18,144.44,-62.76,0.0,top
SW19,53.94,-79.86,0.0,top
SW2,72.04,-28.56,0.0,top
SW20,72.04,-79.86,0.0,top
SW21,90.14,-79.86,0.0,top
SW22,108.24,-79.86,0.0,top
SW23,126.34,-79.86,0.0,top
SW24,144.44,-79.86,0.0,top
SW25,53.94,-96.96,0.0,top
SW26,72.04,-96.96,0.0,top
SW27,90.14,-96.96,0.0,top
SW28,108.24,-96.96,0.0,top
SW29,126.34,-96.96,0.0,top
SW3,90.14,-28.56,0.0,top
SW30,144.44,-96.96,0.0,top
SW31,213.19,-28.52,0.0,top
SW32,231.29,-28.52,0.0,top
SW33,249.39,-28.52,0.0,top
SW34,267.49,-28.52,0.0,top
SW35,285.59,-28.52,0.0,top
SW36,303.69,-28.52,0.0,top
SW37,213.19,-45.62,0.0,top
SW38,231.29,-45.62,0.0,top
SW39,249.39,-45.62,0.0,top
SW4,108.24,-28.56,0.0,top
SW40,267.49,-45.62,0.0,top
SW41,285.59,-45.62,0.0,top
SW42,303.69,-45.62,0.0,top
SW43,213.19,-62.72,0.0,top
SW44,231.29,-62.72,0.0,top
SW45,249.39,-62.72,0.0,top
SW46,267.49,-62.72,0.0,top
SW47,285.59,-62.72,0.0,top
SW48,303.69,-62.72,0.0,top
SW49,213.19,-79.82,0.0,top
SW5,126.34,-28.56,0.0,top
SW50,231.29,-79.82,0.0,top
SW51,249.39,-79.82,0.0,top
SW52,267.49,-79.82,0.0,top
SW53,285.59,-79.82,0.0,top
SW54,303.69,-79.82,0.0,top
SW55,213.19,-96.92,0.0,top
SW56,231.29,-96.92,0.0,top
SW57,249.39,-96.92,0.0,top
SW58,267.49,-96.92,0.0,top
SW59,285.59,-96.92,0.0,top
SW6,144.44,-28.56,0.0,top
SW60,303.69,-96.92,0.0,top
SW7,53.94,-45.66,0.0,top
SW8,72.04,-45.66,0.0,top
SW9,90.14,-45.66,0.0,top
U1,193.44,-30.6185,0.0,top
U2,164.52,-30.51,0.0,top
