Designator,Mid X,Mid Y,Rotation,Layer
D1,32.825,-47.295,90.0,bottom
D10,90.1,-66.445,90.0,bottom
D11,109.275,-66.445,90.0,bottom
D12,128.025,-66.495,90.0,bottom
D13,32.6,-85.52,90.0,bottom
D14,51.575,-85.595,90.0,bottom
D15,70.55,-85.595,90.0,bottom
D16,89.85,-85.62,90.0,bottom
D17,108.825,-85.62,90.0,bottom
D18,127.95,-85.62,90.0,bottom
D19,32.175,-104.695,90.0,bottom
D2,51.775,-47.32,90.0,bottom
D20,51.35,-104.67,90.0,bottom
D21,70.7,-104.67,90.0,bottom
D22,89.7,-104.645,90.0,bottom
D23,108.75,-104.645,90.0,bottom
D24,127.875,-104.595,90.0,bottom
D25,32.325,-123.645,90.0,bottom
D26,51.475,-123.695,90.0,bottom
D27,70.65,-123.695,90.0,bottom
D28,90.05,-123.67,90.0,bottom
D29,108.825,-123.72,90.0,bottom
D3,70.8,-47.32,90.0,bottom
D30,128.05,-123.645,90.0,bottom
D31,223.1,-47.395,90.0,bottom
D32,242.275,-47.37,90.0,bottom
D33,261.35,-47.37,90.0,bottom
D34,280.3,-47.37,90.0,bottom
D35,299.425,-47.32,90.0,bottom
D36,318.625,-47.445,90.0,bottom
D37,223.425,-66.345,90.0,bottom
D38,242.325,-66.445,90.0,bottom
D39,261.575,-66.345,90.0,bottom
D4,90.05,-47.32,90.0,bottom
D40,280.85,-66.395,90.0,bottom
D41,299.7,-66.445,90.0,bottom
D42,319.05,-66.52,90.0,bottom
D43,223.2,-85.595,90.0,bottom
D44,242.625,-85.545,90.0,bottom
D45,261.525,-85.495,90.0,bottom
D46,280.775,-85.595,90.0,bottom
D47,299.675,-85.595,90.0,bottom
D48,318.825,-85.57,90.0,bottom
D49,223.25,-104.695,90.0,bottom
D5,109.0,-47.395,90.0,bottom
D50,242.225,-104.57,90.0,bottom
D51,261.725,-104.62,90.0,bottom
D52,280.925,-104.545,90.0,bottom
D53,299.6,-104.67,90.0,bottom
D54,318.975,-104.57,90.0,bottom
D55,223.15,-123.77,90.0,bottom
D56,242.5,-123.545,90.0,bottom
D57,261.6,-123.695,90.0,bottom
D58,280.9,-123.595,90.0,bottom
D59,299.975,-123.77,90.0,bottom
D6,127.9,-47.32,90.0,bottom
D60,318.65,-123.645,90.0,bottom
D7,32.1,-66.47,90.0,bottom
D8,51.45,-66.37,90.0,bottom
D9,70.55,-66.37,90.0,bottom
SW1,25.41,-40.161155,180.0,bottom
SW10,82.75,-59.27,180.0,bottom
SW11,101.85,-59.27,180.0,bottom
SW12,120.95,-59.27,180.0,bottom
SW13,25.45,-78.37,180.0,bottom
SW14,44.55,-78.37,180.0,bottom
SW15,63.65,-78.37,180.0,bottom
SW16,82.75,-78.37,180.0,bottom
SW17,101.85,-78.37,180.0,bottom
SW18,120.95,-78.37,180.0,bottom
SW19,25.45,-97.47,180.0,bottom
SW2,44.55,-40.17,180.0,bottom
SW20,44.55,-97.47,180.0,bottom
SW21,63.65,-97.47,180.0,bottom
SW22,82.75,-97.47,180.0,bottom
SW23,101.85,-97.47,180.0,bottom
SW24,120.95,-97.47,180.0,bottom
SW25,25.45,-116.57,180.0,bottom
SW26,44.55,-116.57,180.0,bottom
SW27,63.65,-116.57,180.0,bottom
SW28,82.75,-116.57,180.0,bottom
SW29,101.85,-116.57,180.0,bottom
SW3,63.65,-40.17,180.0,bottom
SW30,120.95,-116.57,180.0,bottom
SW31,216.45,-40.18,180.0,bottom
SW32,235.54,-40.15,180.0,bottom
SW33,254.65,-40.17,180.0,bottom
SW34,273.75,-40.17,180.0,bottom
SW35,292.85,-40.17,180.0,bottom
SW36,311.95,-40.17,180.0,bottom
SW37,216.45,-59.27,180.0,bottom
SW38,235.55,-59.27,180.0,bottom
SW39,254.65,-59.27,180.0,bottom
SW4,82.75,-40.17,180.0,bottom
SW40,273.75,-59.27,180.0,bottom
SW41,292.85,-59.27,180.0,bottom
SW42,311.95,-59.27,180.0,bottom
SW43,216.45,-78.37,180.0,bottom
SW44,235.55,-78.37,180.0,bottom
SW45,254.625,-78.37,180.0,bottom
SW46,273.75,-78.37,180.0,bottom
SW47,292.85,-78.37,180.0,bottom
SW48,311.95,-78.37,180.0,bottom
SW49,216.45,-97.47,180.0,bottom
SW5,101.85,-40.17,180.0,bottom
SW50,235.55,-97.47,180.0,bottom
SW51,254.65,-97.47,180.0,bottom
SW52,273.75,-97.47,180.0,bottom
SW53,292.85,-97.47,180.0,bottom
SW54,311.95,-97.47,180.0,bottom
SW55,216.45,-116.62,180.0,bottom
SW56,235.55,-116.57,180.0,bottom
SW57,254.65,-116.57,180.0,bottom
SW58,273.75,-116.57,180.0,bottom
SW59,292.85,-116.57,180.0,bottom
SW6,120.95,-40.17,180.0,bottom
SW60,311.95,-116.57,180.0,bottom
SW7,25.45,-59.27,180.0,bottom
SW8,44.55,-59.27,180.0,bottom
SW9,63.65,-59.27,180.0,bottom
U1,140.125,-48.73,0.0,top
U2,197.275,-48.73,0.0,top
